id,x1,y1,lat,lng,type
B230,537,515,53.982319,-6.392184,N/A
B231,578,515,53.98233,-6.392133,N/A
B232,605,515,53.982335,-6.392094,N/A
B233,632,515,53.98234,-6.392059,N/A
B234,659,515,53.982343,-6.392025,N/A
B235,686,515,53.982355,-6.391991,N/A
B236,713,515,53.98236,-6.391956,N/A
B237,740,515,53.982366,-6.39192,N/A
B238,767,515,53.982374,-6.391887,N/A
B239,807,515,53.982385,-6.391831,N/A
B240,834,515,53.982392,-6.391793,N/A
B241,861,515,53.982398,-6.391762,N/A
B242,888,515,53.982403,-6.391726,N/A
B243,915,515,53.98241,-6.391691,N/A
B244,942,515,53.982418,-6.391659,N/A
B245,969,515,53.982425,-6.391623,N/A
B246,996,515,53.982432,-6.39159,N/A
B247,112,594,53.982125,-6.39268,Disabled
B248,152,594,53.982133,-6.392628,Disabled
B249,192,594,53.982143,-6.392578,Disabled
B250,232,594,53.982154,-6.39253,Disabled
B251,272,594,53.98216,-6.392487,Disabled
B252,312,594,53.982169,-6.392436,Disabled
B253,347,594,53.982179,-6.392375,N/A
B254,374,594,53.982185,-6.392343,N/A
B255,401,594,53.982192,-6.39231,N/A
B256,428,594,53.982196,-6.392274,N/A
B257,455,594,53.982204,-6.39224,N/A
B258,482,594,53.982211,-6.392207,N/A
B259,509,594,53.98222,-6.39217,N/A
B260,536,594,53.982225,-6.392135,N/A
B261,578,594,53.982235,-6.392082,N/A
B262,605,594,53.982244,-6.392049,N/A
B263,632,594,53.982249,-6.392009,N/A
B264,659,594,53.982256,-6.391978,N/A
B265,686,594,53.982263,-6.391942,N/A
B266,713,594,53.982269,-6.391909,N/A
B267,740,594,53.982276,-6.391873,N/A
B268,767,594,53.982283,-6.391839,N/A
B269,806,594,53.982293,-6.391782,N/A
B270,833,594,53.982299,-6.391752,N/A
B271,860,594,53.982308,-6.391715,N/A
B272,887,594,53.982313,-6.391678,N/A
B273,914,594,53.982318,-6.391644,N/A
B274,941,594,53.982326,-6.391608,N/A
B275,968,594,53.982332,-6.391573,N/A
B276,995,594,53.982339,-6.391539,N/A
B277,1022,594,53.982347,-6.391502,N/A
B278,1049,594,53.982354,-6.391469,N/A
